"id";"Date.mutation";"Nature.mutation";"Code.postal";"Commune";"Code.departement";"Type.local";"Surface.reelle.bati";"Nombre.pieces.principales";"Surface.terrain";"Valeur.fonciere"
4719;"01/07/2022";"Vente";79000;"NIORT";"79";"Maison";60;3;37;75000
4720;"04/07/2022";"Vente";79000;"NIORT";"79";"Appartement";39;2;NA;78500
4722;"07/07/2022";"Vente";79230;"BRULAIN";"79";"Maison";111;4;2180;140000
4723;"30/06/2022";"Vente";79230;"PRAHECQ";"79";"Maison";90;4;1107;65000
4724;"05/07/2022";"Vente";79230;"SAINT-MARTIN-DE-BERNEGOUE";"79";"Maison";45;1;1070;55000
4725;"07/07/2022";"Vente";79000;"NIORT";"79";"Maison";144;5;80;310000
4726;"06/07/2022";"Vente";79180;"CHAURAY";"79";"Maison";78;4;NA;137000
4727;"04/07/2022";"Vente";79230;"AIFFRES";"79";"Maison";117;4;933;350000
4728;"30/06/2022";"Vente";79180;"CHAURAY";"79";"Maison";78;5;878;171000
4729;"01/07/2022";"Vente";79260;"LA CRECHE";"79";"Maison";164;6;731;325000
4731;"20/06/2022";"Vente";79000;"NIORT";"79";"Appartement";56;3;NA;57000
4732;"24/06/2022";"Vente";79160;"COULONGES-SUR-L AUTIZE";"79";"Maison";110;4;509;55000
4736;"14/06/2022";"Vente";79360;"BEAUVOIR-SUR-NIORT";"79";"Appartement";53;2;NA;65000
4737;"16/06/2022";"Vente";79000;"NIORT";"79";"Maison";51;3;55;125000
4738;"18/07/2022";"Vente";79000;"NIORT";"79";"Maison";70;3;256;169000
4739;"30/06/2022";"Vente";79000;"SCIECQ";"79";"Maison";133;4;498;340000
4741;"27/06/2022";"Vente";79510;"COULON";"79";"Maison";168;5;1138;299500
4742;"27/06/2022";"Vente";79000;"NIORT";"79";"Maison";74;4;146;209000
4743;"27/06/2022";"Vente";79000;"NIORT";"79";"Maison";84;5;734;138000
4746;"29/06/2022";"Vente";79270;"SANSAIS";"79";"Maison";157;5;278;346225
4747;"27/06/2022";"Vente";79000;"NIORT";"79";"Maison";116;5;406;195000
4751;"28/06/2022";"Vente";79000;"NIORT";"79";"Maison";38;2;157;75000
4753;"28/06/2022";"Vente";79000;"NIORT";"79";"Maison";71;4;394;150000
4755;"24/06/2022";"Vente";79000;"NIORT";"79";"Maison";73;4;508;1e+05
4756;"12/07/2022";"Vente";79000;"NIORT";"79";"Appartement";45;2;NA;44000
4757;"30/06/2022";"Vente";79160;"COULONGES-SUR-L AUTIZE";"79";"Maison";110;4;1025;137000
4759;"13/07/2022";"Vente";79000;"NIORT";"79";"Maison";85;3;147;225500
4760;"24/06/2022";"Vente";79180;"CHAURAY";"79";"Maison";70;2;211;105000
4762;"13/07/2022";"Vente";79000;"NIORT";"79";"Appartement";37;2;NA;68000
4763;"18/07/2022";"Vente";79000;"NIORT";"79";"Maison";137;5;170;312000
4765;"30/06/2022";"Vente";79210;"ARCAIS";"79";"Maison";85;3;61;215000
4769;"28/06/2022";"Vente";79000;"NIORT";"79";"Maison";65;3;178;149000
4770;"24/06/2022";"Vente";79230;"AIFFRES";"79";"Maison";77;4;529;110000
4771;"11/07/2022";"Vente";79210;"SAINT-HILAIRE-LA-PALUD";"79";"Maison";178;6;1558;399581
4772;"24/06/2022";"Vente";79000;"NIORT";"79";"Appartement";48;2;NA;76000
4776;"07/07/2022";"Vente";79000;"NIORT";"79";"Maison";88;5;538;224900
4777;"01/07/2022";"Vente";79000;"NIORT";"79";"Maison";52;3;46;148000
4778;"01/07/2022";"Vente";79160;"COULONGES-SUR-L AUTIZE";"79";"Maison";196;6;1483;450000
4779;"30/06/2022";"Vente";79000;"NIORT";"79";"Maison";124;5;727;210000
4780;"01/07/2022";"Vente";79210;"SAINT-HILAIRE-LA-PALUD";"79";"Maison";105;2;1164;179000
4781;"13/07/2022";"Vente";79000;"NIORT";"79";"Maison";113;5;511;185000
4782;"07/07/2022";"Vente";79000;"NIORT";"79";"Maison";67;2;108;85000
4785;"04/07/2022";"Vente";79230;"AIFFRES";"79";"Maison";111;5;994;226000
4786;"11/07/2022";"Vente";79460;"MAGNE";"79";"Maison";67;3;266;120000
4787;"04/07/2022";"Vente";79000;"NIORT";"79";"Maison";105;4;357;280000
4788;"04/07/2022";"Vente";79000;"NIORT";"79";"Maison";136;5;225;330150
